"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","kyuRq","Hzvxle","pkWtMe","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjUgVAWAD7Iq6je7jP-SCeRehPELdMb9xdkv6VTQY0E08PWvRGqK=w41-h41-p-rp-mo-ba3-br100","Yanglek","Local Guide · 12 reviews · 53 photos","6 months ago","Teman saya pulang dari sini langsung gunting rambut,keren juga hasilnya, intinya harus ke sini dulu","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUiE4UvnSIvjKE_D1UVmEj0b1dEVBrd_s1eaGONMaaLl5aKo6g=w41-h41-p-rp-mo-br100","retno wijayanti","5 reviews","11 months ago","Pantai Teluk Cenderawasih, bersih dan cantik banget, sunset nya indah banget, duduk di tepi pantai menikmati senja .  lokasinya bagus untuk wisata keluarga sudah banyak rumah pondok dan toilet bersih","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWaAexwzYEPIAfFXywQv3OXJelxqlX_rodCfsdo-LyA-EKc--9s=w41-h41-p-rp-mo-br100","AURETO chanel","2 reviews · 5 photos","4 years ago","Thats a wonderfull place. You should be here. Especially for the person who loved diving. Realy grate","","Like","1","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocLmzQLmUB6W-syOgpNCv9P3LF4ffZknlVnkMn4HMCxNHS0TT-c=w41-h41-p-rp-mo-br100","Johana Zekar S'pendi","2 reviews · 4 photos","4 years ago","Keindahan'nya tak dapat di uraikan dengan kata-kata!!  😍 …","See translation (English)","Like","2","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocIPmFw1huATE0dNg4aAhT7yR9HP-rEeNTgn8dY7y8Wu9A9UcA=w41-h41-p-rp-mo-ba2-br100","RUSLAN ABD GANI","Local Guide · 5 reviews · 36 photos","5 years ago","DI SAAT SEMUANYA SERBA SULIT AKHIR NYA BERTEMU DENGAN KABAG PEMERINTAHAN KABUPATEN WONDAMA ALHAMDULILLAH ORANG NYA SANGAT BAIK, RAMAH, DAN BANYAK MEMBANTU DI SAAT KAMI SEDANG MENGALAMI KESUSAHAN","See translation (English)","Like","2","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjVKsNcKWhkCvA-lqUpsTlh4oA33kb7aKp62-xvBj07nuyjdpaaL=w41-h41-p-rp-mo-br100","Agung Ngurah","7 reviews","11 months ago","Tempat yang cukup menarik, suasanya yang teduh nyaman ditemani adanya sunset, sungguh kelindahan alam yang luar biasa.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWLdRnU5CQp-ypxsuYE7P_5qMK_O0EOGkwlQEh-VVQVHh2qoXk=w41-h41-p-rp-mo-br100","Siswanto Oetoro","3 reviews · 5 photos","11 months ago","Allahu Akbar
Serpihan surga yang jatuh ke bumi
Panta dan pasirnya sangat bersih,udara nya bersih
Sunset nya top bangetss","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXsjdbwSUWl-pwL2bC7DEgrhWlNUUoJqVDR_tukB-Me-zOe4MG7=w41-h41-p-rp-mo-ba6-br100","Rikki Siadari","Local Guide · 486 reviews · 2,215 photos","2 years ago","wisata alam yang sangat bagus. dapat bertemu sama paus secara langsung dan berenang bersama. Kawasan laut Teluk Cenderawasih memiliki keanekaragaman flora dan fauna yang tersebar baik di darat, di pulau-pulau maupun di perairan laut …","See translation (English)","Like","1","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWoMivzjky0sg3fu3YlDdI4wQSXK6d7wENMbXe_sZnUCLrP1ajr=w41-h41-p-rp-mo-ba3-br100","RIDAS MEDIATOR","Local Guide · 32 reviews · 34 photos","8 months ago","Alamnya Indah, Pemandangan bawah lautnya juga menarik banyak minat wisatawan","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXV01LHdxMHxCdogAz0eaeUfK1uMK0Haph7dqJulTkwNbUHIBc=w41-h41-p-rp-mo-br100","Fitri Fenti Pratiwi","10 reviews","11 months ago","Salah satu trmpat terbaik untuk dikunjungi di papua barat..pemandsngannya bagus bgtttttt","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocLKKFjVUGrSWSMjMfZ_eIHzWJF7OlJvMN9S8W4o-97FSUcYFg=w41-h41-p-rp-mo-ba4-br100","Zhizu Zhaza","Local Guide · 33 reviews · 9 photos","4 years ago","Taman Nasional Teluk Cenderawasih merupakan salah satu objek wisata alam yang memiliki keanekaragaman hayati yang melimpah, terletak di provinsi Papua Barat Taman Nasional Teluk Cenderawasih dapat diakses dari luar pulau Papua menggunakan pesawat melalui beberapa kota yaitu Manokwari dan Biak, di taman nasional ini terdapat beberapa spot wisata bawah laut dan beberapa pulau dengan berbagai macam obyek wisata. dengan luas area kurang lebih 14,535 km persegi menjadikannya sebagai taman nasional laut terluas di Indonesia","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXvoDB2nlVatUrxz-z76n9FpCZjVcIt9mfrKbV9PbXU2RRyQQP2-A=w41-h41-p-rp-mo-ba5-br100","Maryono MBA","Local Guide · 618 reviews · 750 photos","4 years ago","Satu lagi kekayaan alam Papua Barat Undonesia","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUFYhhZNMZl4xOiCj0NcwLl1B8FZdI56QYuh5RjVWKcgrL_7zq4=w41-h41-p-rp-mo-ba4-br100","bastian noriwari","Local Guide · 45 reviews · 9 photos","a year ago","Bagus untuk di nikmati baik alam nya dan juga di dasar laut bagi peyelam skuba dayfin","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjX7_SSuP6FIzu5zHz2YQ8gyMuWxp8AdkYPY78EMm3vGmjVQnGaZ=w41-h41-p-rp-mo-ba3-br100","abigael penggu","Local Guide · 25 reviews · 29 photos","5 months ago","It's a beautiful place to visit","","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWowonaENBQMRjzxgUYhwsVZJd-cPgUrFXCwsrByLqjMIoNr80S=w41-h41-p-rp-mo-ba4-br100","Dede Jony4","Local Guide · 37 reviews · 24 photos","4 years ago","Sangat romantis..nyaman dan sejuk,pemandangan laut dengan ikan paus yg kadang"" muncul...perfekt deh,,sayangnya tidak ada signal disini..kecuali naik perahu ke tengah"" teluk.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVbmT-1uHVCFtPtB0H39PtvlrbMRRrHwL9LXw-2AYUQmUZt7yum=w41-h41-p-rp-mo-ba5-br100","Yau Ming","Local Guide · 225 reviews · 294 photos","4 years ago","I visited this beautiful nature marine reserve back in 2011 to swim with the resident whale sharks and to explore the WW2 wrecks. It was a very special experience. The place is so pristine and beautiful. We got to do an overland hike to see the Bird of Paradise too.","","Like","1","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjU_lPzXc5Cn45XU7i6Gl8MNjnaLHhPAkQVQJqKj_OR6__G_mxCi=w41-h41-p-rp-mo-ba2-br100","Mandela N","Local Guide · 4 reviews · 47 photos","2 years ago","Takan perna pejamkan mata ketika Melintas di pesisir pulau - pulau kecil yang ada dalam teluk ini, sunggu indah karya Mu bagi kami.","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjVTJi4cIjNz7309ypo0XyUGknMKu69C3zHalJIrFv13halS7JI=w41-h41-p-rp-mo-br100","Arbon","3 reviews · 8 photos","a year ago","Slamat beraktivitas","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocLuSTMKS1IS7xyUSForC6mvMpkz8gK1WVYd9S_JS2-5C8MwFg=w41-h41-p-rp-mo-br100","Rocky Jhon","3 reviews","11 months ago","Taman nasional yang lokasinya strategis, bagus tmnya dan nyaman","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocKHdWVf3wapRiJfq7zP4CUfgebDfu1beX625B6L1iR9oau-4A=w41-h41-p-rp-mo-br100","Ahmad Setiaji","1 review","6 months ago","Sukseskan sail teluk cendrawasih","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIqQ1kVhxHlk6lvkVbmaO00ZUUBMXOKuTvc_BiEDnNl_jiSPg=w41-h41-p-rp-mo-br100","Van Lov","1 review · 3 photos","3 years ago","Indah dan di Pagari dgn juran dan kali","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocII9x0fDqktfZHeSbbUyVRER7cOpYpfYYKtK7lp1jy_edxMaQ=w41-h41-p-rp-mo-br100","Yoga Hermawan","1 review · 1 photo","5 years ago","Selesai mancing langsung singgah bakar2","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocKw9gDwjS11aBcyrQdr3FO4sAUarc-9xK7dN0SbwfcoDp3jow=w41-h41-p-rp-mo-br100","Yuliana Bayowa","1 review","5 years ago","Ini kampung halaman sya
Dan banyak penigalan sejara injil dan adat wondama kuri dan pasay","See translation (English)","Like","1","","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJsl4dXeiOSwq3mLrOzoXSwZG33LvWRoYX3xNfY_WpdloUTXw=w41-h41-p-rp-mo-br100","Haryoto Andung","19 reviews · 6 photos","5 years ago","Tman yg brlokasi dipnggir pantai dg pohon2 yg rindang..ckup bgus 😊 …","See translation (English)","Like","1","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUft0IBGBmDTXOz_lQyrQ-IOfr1l77LKNfoQHKeTTvSbZPaX_g=w41-h41-p-rp-mo-br100","eno lift","8 reviews · 10 photos","5 years ago","Suasana masih natural... tetapi penduduk rata"" pendatang dari luar daerah..","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIE8vZlMk55WTDjcjR0ERZShnqudJZdK7aLINMnLk5_XFBuCw=w41-h41-p-rp-mo-ba4-br100","Wahyu Tato","Local Guide · 97 reviews · 31 photos","4 years ago","Tempat yg begitu indah dengan panorama laut dan batu karang...","See translation (English)","Like","1","","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjW5jA34Wub6i0fefHgzcRWrgiHERAem34lCKTHinjFi0f_a1h7VCg=w41-h41-p-rp-mo-br100","Icad Mayor","5 reviews · 4 photos","5 years ago","Pantai Warwai kampung Dotir","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocKzFUTPOL7lMPut515yrZSyaEpnVp_u0Rmutr6gBZGLFv7W9A=w41-h41-p-rp-mo-br100","edy wiyono","1 review","8 years ago","Sangat cantik & alami mudah2han semua satwa terlindungi dengan aman","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUVP9qrO0cRtIS6cojej7LgddWml9OuCfp3CDArWS86SOOJvzE0=w41-h41-p-rp-mo-br100","Wahyu Pateng","4 reviews","5 years ago","wow pulau ini sangat keren dan indah jadi pengen ke sana tapi jauh 😆 …","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJOTNhVFUMjNtAgdmH3nVkZr-jehBei4OzqP3chAwWINs3vsA=w41-h41-p-rp-mo-ba2-br100","Ernesth Pattipeilohy","Local Guide · 15 reviews · 10 photos","5 years ago","Pemandangan alam bawah lautnya masih terjaga dengan sangat baik","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXZqvLHY28P0UQGmRCEW-bv7RQ3Qe6hQOAKmkrecBtj2A3YDiM=w41-h41-p-rp-mo-ba2-br100","Piter Masso","Local Guide · 11 reviews · 9 photos","2 years ago","Suasana alam indah dan ramh masyarakat di sini","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUaaITx7leoRHXIRsPQm7PPyfds7R0b-n9S7P_PuzMPxfiGJAg3=w41-h41-p-rp-mo-ba5-br100","Evi Nurul Ihsan","Local Guide · 248 reviews · 524 photos","6 years ago","salah satu taman nasional laut terluas di indonesia. tempat hiu paus!","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUN8cYrJKQBzGjH-j4-u4J86wfEL6JwOjSBobYYx9rDhKn4UM0=w41-h41-p-rp-mo-ba4-br100","Wahyu Dien","Local Guide · 14 reviews · 168 photos","11 months ago","Bagus Tempatnya","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocK8jFf1y9uBG6B0GxbnJW-QcD3rakpRDJPs6IcgFJuMO39z8w=w41-h41-p-rp-mo-ba2-br100","Melky Auri","Local Guide · 19 reviews","4 years ago","Indah dan memiliki spot yg lebih menarik dari radja ampat","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUr7KRpGhmpezLobwFow5RKXhqohjZP3NEO-KuBqQ9K843-Srg=w41-h41-p-rp-mo-br100","Juan Silvio Alfons","7 reviews","6 years ago","Karena tempat ini adalah tempat dengan panorama indah alam yang asri di tanah papua","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVCwIVdx0sq613qwf-uuUoFVOYynmFyUHXdkNxwF5Hv8RUMtXX9=w41-h41-p-rp-mo-ba3-br100","DTP","Local Guide · 2 reviews · 170 photos","4 years ago","TNTC merupakan Kawasan Taman Nasional Laut yg terluas dan tercantik di Indonesia.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJva2_rbwJ_QWeyiqdaw1dPZDuNN0Q8SwKZyeE93C1k3WHDdZo=w41-h41-p-rp-mo-br100","Liana Winda","13 reviews","11 months ago","Rekomended buat jalan jalan","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVwb7gn2FJmTs_6vXwRTOvOCFFjL4_LU9loWJVCxZDkCBI-Nfut=w41-h41-p-rp-mo-br100","Ompay Disgen","8 reviews · 3 photos","6 years ago","Merupakan Taman.nasional Yang terletak Di Kabupaten Teluk  Wondama Provinsi Papua barat","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocLS1yMgvWH8yryp_CpWw8oUnf4jj1OyPIzs0ft-LH90tArLqA=w41-h41-p-rp-mo-br100","Nicz73 Franz","2 reviews · 1 photo","5 years ago","Surga tersembunyi","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocKSViX8VxH42Zka_pzNWk5sLZvEsEjwwJaBsZ4Uzyxt6P9eKQ=w41-h41-p-rp-mo-br100","Anwerudin Shop","7 reviews","11 months ago","indah banget tempatnya","See translation (English)","","","Like","Share"
