Place Name,Province,City,User Name,User Profile,User Avatar,User Location,Rating,Review Title,Review Text,Trip Type,Helpful Votes,Published Date,Sentiment,Attraction,Accessibilities,Amenities
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,amattoso,https://www.tripadvisor.co.id/Profile/amattoso,https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/7f/avatar066.jpg,"Sao Paulo, SP",5,Fantástico,"Super diving with Whale Sharks, positive interaction between fishermen and sharks, WWF studies and monitors the area, and guides local people regarding the animal. Wonderful experience!!!",Sendiri,0,Ditulis pada 22 Februari 2018,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,MAKSIM M,https://www.tripadvisor.co.id/Profile/121maximm,https://media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/90/avatar.jpg,"St. Petersburg, Rusia",5,Magical Indonesia,"Swimming with whale sharks is one of the impressive events and emotional outbursts of sensations and emotions that happened to me. There are about 12 sharks swimming in the bay, but meeting them is absolutely not guaranteed, our guide used a little trick - knowing that fishermen from fishing platforms feed sharks fry, so we set off on a boat to swim around all the platforms in the bay, after 1.5 hours, when there was almost no chance, A MIRACLE HAPPENED! 4 sharks swimming around the platform. You must take masks and fins with you in advance, words cannot describe it - you have to swim and see! I DEFINITELY RECOMMEND VISITING, COMPLETELY SAFE, NO MONEY NEEDED!",Teman,0,Ditulis pada 17 September 2017,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Goldstone888,https://www.tripadvisor.co.id/Profile/Goldstone888,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg,"Hong Kong, Cina",1,Ecotourism Disaster,Thousands of Whale Sharks gather in this small area before spreading across the world to spread their word. . . . . but 90%+ are injured by the propellers of the tourist boats that let TripAdvisor (and similar) clients snorkel with them. Should we get involved in this?,Pasangan,0,Ditulis pada 22 Agustus 2017,negatif,negatif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,NOTCROPPED.WORLD,https://www.tripadvisor.co.id/Profile/NOTCROPPED,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg,Amerika Serikat,4,Whale sharks!,"Great place to swim/dive with whale sharks. Takes a lot of time and effort to get there, but swiming with huge whale sharks brings all the joy! No infrastructure, so get ready to be patient and pay a lot!",,0,Ditulis pada 3 Juni 2017,positif,positif,positif,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Chris B,https://www.tripadvisor.co.id/Profile/846ChrisB846,https://media-cdn.tripadvisor.com/media/photo-s/03/28/07/2e/chris-b.jpg,Haghorst,1,Big disappointment!!,"We were really looking forward to swimming with the whale sharks and took a flight from Wamena to Nabire and then moved into the Nasuntara II hotel. The next day we called Merry Yoweni for an excursion to the whale sharks, she was in Jayapura, but Kris, her husband came to our hotel. He was very busy with all kinds of things but would arrange the excursion for us with local fishermen and the 4.5 million rupiah for this day mainly benefited the local people. The next morning we were picked up at 6:00 am by 2 men, Kris brought lunch later (he had overslept), a few white rolls, water and a jar of peanut butter. The 2 hour drive to the fishing village went via the local market where a huge amount of betel nuts were purchased, people spit and smoked cigarettes during the entire journey. At the fishing village the stock of betel nuts was first distributed and we went in a boat with a local fisherman to look for whale sharks. The fisherman was as stoned as a shrimp, but no one spoke a word of English, and after passing a number of bagans, fishing platforms, he called off the search. In consultation with Kris, he had indicated that the fishermen fed the whale sharks with small fish every day, and therefore the fishermen knew where the whale sharks came. Afterwards it turned out that the fisherman had not spent the 500,000 rupiah on buying the bait and the fishermen on the platform did not indicate where the whale sharks were. After we were dropped off on a small island, the fisherman went fishing himself and we were returned to the fishing village after just a few hours; any communication was not possible. In the evening Kris called and came to the hotel. He indicated that mistakes had been made and offered to refund the money for the bait, he also took us to the airport the next day. Kris is a very nice man full of good intentions, but the local people are not yet ready for tourism. After we flew to Biak the next day, we regretted it and returned to Nabire and booked 3 nights at Kali Lemon resort, this was first class, see separate report.",Pasangan,0,Ditulis pada 14 November 2016,negatif,positif,positif,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Rahman_Priyono,https://www.tripadvisor.co.id/Profile/Rahman_Priyono,https://media-cdn.tripadvisor.com/media/photo-o/06/25/98/ea/angpauw.jpg,"Jakarta, Indonesia",5,Unforgettable experience,"If you are a diver, this is the place you can dive with whale sharks. Adults can be monster fish 7 - 8 meters long.",Teman,0,Ditulis pada 12 September 2016,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Cnocky,https://www.tripadvisor.co.id/Profile/Cnocky,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg,"Ghent, Belgia",5,Amazing experience with Kris,"We came to Nabire with a flight from Jayapura. We stayed at Nusantara hotel There we asked to call Kris.  A few hours later Kris came to our hotel and we discussed the trip to the whalesharks. We paid half of the amount So the next day Kris came with a car and we drove about two hours to a remote place were some local people live. You can also go by boat but  it was Ramadan holiday and the fishermen in Nabire didn’t work so we went by car.  Kris arranged a boat at the local people to bring us to the bagan. About half an hour later we arrived at the bagan. The fishermen give the whalesharks  “puri”. That are small fish which they like a lot. We saw 3 whalesharks. It was amazing!  They are huge! We swam 3 hours with the whales. They are very friendly creatures.  It was an amazing experience. Kris speaks good English and is very friendly. We certainly recommend to do the trip to the whalesharks with Kris! Price is 4.5 million IDR (fixed price, for 2 adults and a child) Incl: Transport, water and lunch Bring: sunscreen, underwater camera, snorkeling gear",,0,Ditulis pada 23 Agustus 2016,positif,positif,positif,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Lanneey,https://www.tripadvisor.co.id/Profile/Lanneey,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg,Jakarta,5,Great place for diving,We dived for 5 days all inclusive to say hello to the famous Nabire whale shark. Amazing experience,Teman,0,Ditulis pada 18 Mei 2016,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Maika_Mondlicht,https://www.tripadvisor.co.id/Profile/Maika_Mondlicht,https://media-cdn.tripadvisor.com/media/photo-o/0a/ec/20/27/oktaviani84.jpg,"Utrecht, Belanda",1,A very dissapointing experience,"As oppose to some reviews I saw here my trip to Nabire to see whale sharks ended up devastating. Maybe I was very unlucky and maybe the trip arranger didn't have experience to manage a failed trip and we felt very neglected. We went to Nabire after our trip to Raja Ampat, especially to see whale sharks. I and my husband spent around 500 USD to go there on a Batik Air plane with a bad connection (we had to fly back from Sorong to Ambon for 2 hours, transit 5 hours then flew another 2 hours to Nabire from Ambon). It was in a Thursday. After that we only have a day to do the whale shark trip because the next day (Sat) we needed to fly to Jakarta, and flight to Jakarta is not available by Sunday so if we don't take the one in Saturday we need to stay in Nabire until Monday. We arranged the trip with Merri Yoweni, which contact I saw via internet. Merri was in Jayapura so her sister Ellen help to arrange the trip. The cost per boat was 5.8 mio IDR and we shared it with another couple. I thought I need to book a hotel myself and then go to whale sharks place the next day with Merri's people but apparently in a conjuction with this trip we were ""obligated"" to stay in a hotel owned by Merri's family which is called Blue Moon Resort (or something with Moon) and the hotel price is not included in the package. the resort was quite far from the city center, around 30mins and quite remote. And we figured that staying there is only take us further to the whale shark place (we went on the next day to shale shark place from a beach next to the airport, and staying in the Moon  resort cost us around 1 hour back and forth to the beach). the hotel price was 400thou/night and we had to pay also for our food, which is quite expensive but we had no option since the location was remote. the hotel condition was simple and enough for staying but don't expect anything fancy. the next day we took bfast by 5.30Am as according to Ellen we need to go by 6AM. the day before Ellen told us that we needed to order our lunch from the hotel's restaurant so she can bring it to the boat, while according to Merri lunch should be included. So we noticed different arrangement between Ellen and Merri. The discussion was not settled but then despite of having said that we had to go by 6 Ellen was still cooking and we had to wait until 6.30AM before we went from the hotel. We arrived at Nabire beach, next to the airport, by 7AM. To our surprise the boat was still not ready. Merri insisted us to pay our down payment 3 days before the trip and I paid 2mio IDR from my 2.9mio bill, she said so that her ""management"" can arrange the boat. But Ellen only arranged the boat trip the night before, and the fishermen only started to pull the boat to the water, installing the machine and seats etc when we arrived there so we lost another half an hour and only took off from the beach by 7.30 AM. It took us around 1.5-2 hours to reach the bagans, basically sort of a floating raft where fisherman catch fishes. Whale sharks like to eat little fishes from the bagans and that's why we hunt them there. According to Merri whale shark foods were included in the price but we realized that we didn't bring any fishes when we took off and we asked this to the fisherman but the fisherman said confidently that it was already provided. We started to visit bagan over bagan until around 6 bagans but apparently no whale sharks. The fisherman started to get a bit nervous and they said we should go back to the first two bagans because the other bagans didn't have the little fishes that whale sharks like and the first two had them so their plan was to use those little fishes to invite the whale sharks to go up. Apparently what they meant that the whale sharks food already provided was actually they expected to find them in bagans, which apparently was not the case. We went back to the first 2 bagans but unfortunately they also didn't have the little fishes (they call it Puri fishes). without the little fishes the fisherman was powerless and we couldn't get the whale sharks to get to the surface. and after around 2 hours going around in a boat under the sun we had to give up and went back to the beach. What was very annoying about this failed trip is the weak management. The fisherman couldn't explain to us why the whale sharks didn't appear (we conclude ourselves that it was because of no Puri fishes) and in the end he said that usually guests have to bring their own Puri fishes (but at the beginning we already asked about the fishes and he said it would be provided!). We tried to call Merri and SMS her about the failed trip but she only replied by SMS saying that Ellen should take care of us and she was having a meeting. <br /><br />When we went back to the inn Ellen was not around and she finally showed up at night and we complained to her about the failed trip due to the non existence of the Puri fishes. She reacted by saying that she is responsible of the resort and not about the trip arrangement, because the arrangement is Merri's responsibility (but Merri directed us to her). And we were not happy to hear that and we said that they promised us to provide the Whale shark foods and it was not available so we wanted some money refund. Ellen said she will talk to Merri and will talk to us the next day by 7AM because we had to go to the airport by 8AM. And the next day Ellen was not there. She was gone. 2 people from the inn came to us with a bill for the hotel and food and I told them I didn't want to pay until I see Ellen because she promised to see us by 7AM. But they told me that Ellen is in police office to report the fisherman to the police. And they wanted to drag us too the police office as well. I think they had a good connection with the police and this can bring us to an unfortunate situation and we then chose to pay so that we won't get into trouble and miss our flight. I SMS Merri and ask what her ""management"" have to say about this and that we wanted a money refund and she replied to me by SMS threaten me that she will be back to Nabire and we can settle this in the police office and she called me an ""unklowledgeable Indonesian who shows stupidity"". while for the other guests she used the reason that ""the boat management is different with our management."" Overall what I'm saying is that meeting the whale sharks should be a great experience but it is not always a sure thing so better to provide more than one day so you can try again. And if you arrange the trip with Merri Yoweni you have to accept the flaws in management and if you have complains about the service you will be threatened to be dragged to a police office and might have to endure some rude words like I did.",Pasangan,0,Ditulis pada 10 April 2016,negatif,negatif,negatif,negatif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,fairyenough,https://www.tripadvisor.co.id/Profile/fairyenough,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg,"Manila, Filipina",5,"We got lucky , 5 whale sharks","Yes we got lucky ! It rarely happen, on our first day of the 3 days we got to see 5 whale sharks.  Amazing and once in a lifetime experience.  Swimming with them, touching them, playing with them.  Bucket list checked ! Highly recommended.",Pasangan,0,Ditulis pada 12 Februari 2016,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,mamassingale,https://www.tripadvisor.co.id/Profile/mamassingale,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg,"Taipei, Taiwan",4,Whale Shark Amazing Experience!,"What an amazing experience! It's not easy to make this trip happen, but that's how you know it's worth a visit. I went with a company called Kali Lemon, but I met some people in Nabire in Jayapura and said they could arrange a trip with local fishermen for you. Method ever you want, spend about $200 in plan (US) every day. This will cover food, transportation and whale sharks. For this time the cost of 3D/2N with Orange is $650 including transport from Nabire, 3 meals a day, and all necessary diving equipment. Check the Ramadan dates before you go, though. I was stuck for 5 days because all Nabire was available down.",,0,Ditulis pada 20 Agustus 2015,positif,positif,netral,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,CamperSF,https://www.tripadvisor.co.id/Profile/CamperSF,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg,"San Francisco, CA",5,Amazing experience of a lifetime,"Amazing, amazing, amazing experience! My family of four swam with whale sharks for several hours. My oldest, 14, is second and will never leave. Apparently, so do whale sharks. It followed us as we left. This place seemed to really enjoy our company as it kept swimming up to us. We stayed at the Nusantara hotel, whale shark and arranged the trip through jovial & chris. Chris walked us out to the beach near the whale sharks, then a fisherman took us to the Bagan. We went to some other coral reefs to snorkel. This hotel works a lot to make you a truly Nabire experience of a lifetime!",Keluarga,0,Ditulis pada 16 Agustus 2015,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Nzdiver,https://www.tripadvisor.co.id/Profile/Nzdiver,https://media-cdn.tripadvisor.com/media/photo-o/03/89/13/a6/nzdiver.jpg,"Auckland, Selandia Baru",5,Perhaps the best whale shark companions between worlds,"My wife and I stayed at Kalilemon resort for 4 days.<br />This was one of the better vacations. The attention and care from our hostess, Amelia, and Pack and all the other staff was amazing. From pick up in Nabire to drop off, including Filadelfia Homestay for our last night was fantastic. As soon as we arrived we were taken out to get introduced to the whale sharks, this is less than 5 minutes from the resort. Soon we got up close and friendly with 3 of them, January for over an hour. Every day we scuba dived and went up to January 2 with 5 sharks each time, as long as we wanted. We were told not to touch the sharks but no one told us about the whale sharks, they often brushed up to us or gently nuzzled us with their tail fins. The water is warm, about 30 degrees hood. And quite clearly, it has hundreds of photos and video clips. Kalilemon is basic, but we had a comfortable bed, private room and bathroom and excellent local food with good eating on the deck over the water. much better than a 5* resort dive, we had a small village, a few guides and boat people, up to 5 whale sharks at a time all to ourselves. Couldn't ask for more. While this hotel is not cheap but stay at Nabire Kalilemon, we couldn't put a price on seeing whale sharks. This is an experience of a lifetime that we have now and we have definitely ticked off our bucket list. For anyone who wants to swim with whale sharks, this is the place to go.",Pasangan,0,Ditulis pada 2 Agustus 2015,positif,positif,positif,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,mchendra,https://www.tripadvisor.co.id/Profile/mchendra,https://media-cdn.tripadvisor.com/media/photo-o/2b/ce/45/e0/caption.jpg,"Jakarta, Indonesia",5,places to go before you die,"we swam with whalefish! They are humangous, but very friendly. It was scary at first but they wanted to hang out and pat I guess. I don't know much about animals, but this particular one was very, very crossed. This is a once in a lifetime experience",Pasangan,0,Ditulis pada 30 Juni 2015,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Christini_lo,https://www.tripadvisor.co.id/Profile/Christini_lo,https://media-cdn.tripadvisor.com/media/photo-o/08/2c/93/76/christini-lo.jpg,"Jakarta, Indonesia",4,Go to National Park by Cheapest way,"We are going to Kwatisore Village distrik Yaur, which is the place that very near from Bagan (floating boat), it takes only 10minutes boat drive only to reach bagan to see Whaleshark attraction. And we didnt stay at Resort, but we find a local fisherman house to stay for 3 days, if stay at resort can cost about Usd 700-800, i only cost about Usd 200",Teman,0,Ditulis pada 25 Juni 2015,positif,positif,positif,positif
Pantai Tanjung kasuari,Papua Barat,Sorong,Ade Usmi Budiman,https://www.tripadvisor.co.id/Profile/adeb950,https://media-cdn.tripadvisor.com/media/photo-s/1c/2e/10/24/avatar.jpg,,4,The beach of tanjung kasuari,"I was there to spend my spare time with my friends,sometimes when we finished playing football we went to the beach too. Tanjung kasuari beach has become one of the destination to all people who lives in this city.",Teman,0,Ditulis pada 15 Oktober 2020,positif,positif,netral,netral
Pantai Tanjung kasuari,Papua Barat,Sorong,Imelda Popy Yandeday,https://www.tripadvisor.co.id/Profile/imely2020,https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/13/07/imel-y.jpg,"Sorong, Indonesia",4,Chika Tanjung Kasuari Beach,"My nephew and I filled our vacation with a picnic on the beach of Chika Cape Cassowary, the beach is very beautiful.",,0,Ditulis pada 15 Oktober 2020,positif,positif,netral,netral
Pantai Tanjung kasuari,Papua Barat,Sorong,Afla sarlota Binu,https://www.tripadvisor.co.id/Profile/Aflalotha,https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/0f/78/avatar.jpg,"Sorong, Indonesia",5,Galilee Park Tourist Attractions,one of the parks most often visited by everyone during holidays or to relieve fatigue with the family,Keluarga,0,Ditulis pada 15 Oktober 2020,positif,netral,netral,netral
Pantai Tanjung kasuari,Papua Barat,Sorong,Siti Umi Asih,https://www.tripadvisor.co.id/Profile/sitiumiasih,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/2e/0d/93/sitiumiasih.jpg,Indonesia,4,Comfort place,"I visited tanjung kasuari last week with my children my friend. The place was very comfortable and beautiful. My children were happy to played a sand and swiming. For the food, you can bring it yourself with cheap entrance fees.",Keluarga,0,Ditulis pada 15 Oktober 2020,positif,positif,netral,positif
